alpha,train_r2,test_r2,n_leaves,depth
0.0,0.8184559360410188,0.8178568992932717,336,15
0.07398648648648656,0.8087457532947712,0.8078781500189229,297,15
0.29105148113877927,0.5753253202029008,0.5720095497994491,265,15
1.2378968253968252,0.6120199879665482,0.6103797647705135,291,15
4.150836604294071,0.809729561200273,0.8087406383397168,268,15
6.456822695963471,0.7968090116133978,0.7957889474053206,255,15
13.336400293255128,0.8198107537687196,0.819235708523002,252,15
19.9785233108784,0.4697808375687589,0.4691976784004438,210,15
25.6173722917909,0.47239588022534584,0.4727250900038268,229,15
36.32358512358513,0.6258068251871498,0.6228994885586316,212,15
46.0213134129157,0.8154153852133441,0.8143096886485219,208,15
61.45166571363956,0.5008258973327966,0.49676700249150285,178,15
76.13102114137602,0.8118667545641475,0.810773067307245,173,15
90.27056081292274,0.8076036624346778,0.8074803133832824,155,15
128.94956397221662,0.8099617393840488,0.8085370268910721,149,15
153.23696572771132,0.46995792626058397,0.46955769419468407,140,15
178.6958927231809,0.47259120424267353,0.47176407963125333,117,15
280.10014260249557,0.5940293280265672,0.5925817692822806,112,15
406.07249673718115,0.8062183753815108,0.8058449640536841,92,15
518.7615673940478,0.7952458643828426,0.7945259403786331,56,15
939.8756564214327,0.7926399929787642,0.7908804696166368,80,15
2191.574805688823,0.7910099841612577,0.7900073938673726,43,14
3263.241700860629,0.44741168656042907,0.44499979415106095,36,15
10787.715807351893,0.42746000916506655,0.4275990215439288,20,15
128001.88827071743,0.1724384398670693,0.16772282566744146,2,1
